Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-12-09 00:00:00-05:00,541.25,541.25,541.25,541.25,10,0.0,0.0
2024-12-10 00:00:00-05:00,545.0,545.0,542.0,542.0,2,0.0,0.0
2024-12-11 00:00:00-05:00,544.0,552.5,543.5,543.5,56,0.0,0.0
2024-12-12 00:00:00-05:00,535.0,538.75,533.25,538.75,24,0.0,0.0
2024-12-13 00:00:00-05:00,526.5,526.5,526.5,526.5,49134,0.0,0.0
2024-12-16 00:00:00-05:00,552.25,559.25,548.5,550.0,68005,0.0,0.0
2024-12-17 00:00:00-05:00,550.75,552.5,542.5,545.0,72661,0.0,0.0
2024-12-18 00:00:00-05:00,545.0,554.25,540.0,541.25,63252,0.0,0.0
2024-12-19 00:00:00-05:00,541.0,541.75,530.5,533.0,87290,0.0,0.0
2024-12-20 00:00:00-05:00,532.5,537.25,529.25,533.0,55084,0.0,0.0
2024-12-23 00:00:00-05:00,533.0,544.0,533.0,540.5,57507,0.0,0.0
2024-12-24 00:00:00-05:00,539.5,541.5,533.5,534.75,25215,0.0,0.0
2024-12-26 00:00:00-05:00,534.75,544.0,533.75,541.0,28461,0.0,0.0
2024-12-27 00:00:00-05:00,542.0,547.75,537.25,546.5,43052,0.0,0.0
2024-12-30 00:00:00-05:00,547.25,554.75,544.5,548.25,46874,0.0,0.0
2024-12-31 00:00:00-05:00,548.75,552.75,546.75,551.5,33827,0.0,0.0
2025-01-02 00:00:00-05:00,551.75,552.75,542.5,545.75,44332,0.0,0.0
2025-01-03 00:00:00-05:00,545.5,547.0,527.5,529.25,87535,0.0,0.0
2025-01-06 00:00:00-05:00,530.25,543.75,530.25,540.5,64942,0.0,0.0
2025-01-07 00:00:00-05:00,540.5,544.25,535.25,542.5,46902,0.0,0.0
2025-01-08 00:00:00-05:00,542.75,544.75,534.5,536.25,58097,0.0,0.0
2025-01-09 00:00:00-05:00,535.5,539.25,529.25,534.0,45711,0.0,0.0
2025-01-10 00:00:00-05:00,533.0,541.25,526.0,530.75,104604,0.0,0.0
2025-01-13 00:00:00-05:00,530.5,545.75,528.5,545.0,84277,0.0,0.0
2025-01-14 00:00:00-05:00,546.25,552.25,542.75,546.25,70102,0.0,0.0
2025-01-15 00:00:00-05:00,546.75,551.5,542.0,547.0,56045,0.0,0.0
2025-01-16 00:00:00-05:00,547.0,547.0,536.75,537.5,52990,0.0,0.0
2025-01-17 00:00:00-05:00,537.5,542.0,533.25,538.75,50291,0.0,0.0
2025-01-21 00:00:00-05:00,542.0,561.75,542.0,558.75,112879,0.0,0.0
2025-01-22 00:00:00-05:00,558.5,566.75,551.5,554.0,91512,0.0,0.0
2025-01-23 00:00:00-05:00,554.0,559.0,548.0,554.0,64143,0.0,0.0
2025-01-24 00:00:00-05:00,550.0,552.25,541.25,544.0,81676,0.0,0.0
2025-01-27 00:00:00-05:00,543.0,543.0,532.0,535.5,68354,0.0,0.0
2025-01-28 00:00:00-05:00,535.75,548.5,533.5,545.25,77116,0.0,0.0
2025-01-29 00:00:00-05:00,544.5,564.75,544.5,562.5,90600,0.0,0.0
2025-01-30 00:00:00-05:00,560.75,569.75,559.0,566.5,96799,0.0,0.0
2025-01-31 00:00:00-05:00,569.0,569.0,551.75,559.5,87916,0.0,0.0
2025-02-03 00:00:00-05:00,555.0,573.75,550.5,566.75,90750,0.0,0.0
2025-02-04 00:00:00-05:00,566.5,579.0,558.0,577.0,89542,0.0,0.0
2025-02-05 00:00:00-05:00,577.25,584.25,569.5,572.25,108673,0.0,0.0
2025-02-06 00:00:00-05:00,572.25,588.75,566.5,587.75,109406,0.0,0.0
2025-02-07 00:00:00-05:00,587.75,592.5,579.75,582.75,106334,0.0,0.0
2025-02-10 00:00:00-05:00,581.25,586.0,576.25,579.5,105426,0.0,0.0
2025-02-11 00:00:00-05:00,579.0,588.0,575.75,577.0,110234,0.0,0.0
2025-02-12 00:00:00-05:00,576.25,584.5,572.75,574.25,113048,0.0,0.0
2025-02-13 00:00:00-05:00,574.0,581.0,571.5,577.75,91309,0.0,0.0
2025-02-14 00:00:00-05:00,577.25,602.75,577.25,600.0,103503,0.0,0.0
2025-02-18 00:00:00-05:00,598.25,609.0,593.25,604.75,93045,0.0,0.0
2025-02-19 00:00:00-05:00,605.0,608.25,588.5,592.0,64134,0.0,0.0
2025-02-20 00:00:00-05:00,592.0,595.5,583.5,585.5,37056,0.0,0.0
2025-02-21 00:00:00-05:00,585.5,593.0,585.25,590.0,40506,0.0,0.0
2025-02-24 00:00:00-05:00,589.5,589.5,574.75,579.0,27710,0.0,0.0
